seed,dimension,family,trial,translation_error,relative_error,additive_control_shift
0,8,random,6,1.3322676295501878e-15,8.881784197001252e-16,0.4128466609748429
0,8,random,7,1.7763568394002505e-15,1.7763568394002505e-15,5.411278721477871
0,8,random,8,7.105427357601002e-15,1.7763568394002505e-15,2.3144890343111086
0,8,random,9,8.881784197001252e-15,6.661338147750939e-15,0.09129252443004532
0,8,random,10,7.105427357601002e-15,0.0,4.383002801502538
0,8,random,11,7.105427357601002e-15,2.6645352591003757e-15,4.004052700019258
0,8,random,12,5.329070518200751e-15,3.552713678800501e-15,1.0931389902623536
0,8,random,13,1.7763568394002505e-15,1.7763568394002505e-15,1.8431468382804184
0,8,random,14,1.7763568394002505e-15,8.881784197001252e-16,1.6998811793138628
0,8,random,15,3.552713678800501e-15,0.0,6.082410806210863
0,8,random,16,3.552713678800501e-15,3.552713678800501e-15,1.4418269515406905
0,8,random,17,7.105427357601002e-15,5.329070518200751e-15,0.1377693707727019
0,8,random,18,4.440892098500626e-16,1.3322676295501878e-15,1.6626038111339199
0,8,random,19,1.7763568394002505e-15,2.6645352591003757e-15,1.4704061818260001
1,1,simplex,0,0.0,0.0,0.6296810767721923
1,1,simplex,1,0.0,4.440892098500626e-16,1.0044101252391782
1,1,simplex,2,4.440892098500626e-16,4.440892098500626e-16,0.1684916504915428
1,1,simplex,3,1.3322676295501878e-15,1.7763568394002505e-15,0.6837940207995654
1,1,simplex,4,0.0,0.0,0.17101946427462877
1,1,simplex,5,4.440892098500626e-16,8.881784197001252e-16,0.9748919202505224
1,1,simplex,6,2.220446049250313e-16,4.440892098500626e-16,0.6313769205465745
1,1,simplex,7,1.5543122344752192e-15,8.881784197001252e-16,0.5940755533945623
1,1,simplex,8,5.551115123125783e-16,1.1102230246251565e-16,0.01491412772484857
1,1,simplex,9,6.661338147750939e-16,4.440892098500626e-16,0.009138067568635666
1,1,simplex,10,8.881784197001252e-16,8.881784197001252e-16,0.3191638955040883
1,1,simplex,11,4.440892098500626e-16,0.0,0.4277088167241674
1,1,simplex,12,4.440892098500626e-16,0.0,0.01342192219838445
1,1,simplex,13,2.220446049250313e-16,2.220446049250313e-16,1.0040692010555503
1,1,simplex,14,0.0,0.0,0.7193118736740551
1,1,simplex,15,8.881784197001252e-16,4.440892098500626e-16,0.6001182352556134
1,1,simplex,16,0.0,0.0,0.03659921519983067
1,1,simplex,17,2.220446049250313e-16,2.220446049250313e-16,0.4207718164171821
1,1,simplex,18,8.881784197001252e-16,0.0,0.042324576341897124
1,1,simplex,19,1.4432899320127035e-15,2.220446049250313e-16,0.09748105220925751
1,1,random,0,8.881784197001252e-16,4.440892098500626e-16,1.5798875188173565
1,1,random,1,2.220446049250313e-16,4.440892098500626e-16,0.6524159903699349
1,1,random,2,8.881784197001252e-16,1.3322676295501878e-15,0.26534352425416285
1,1,random,3,2.220446049250313e-16,0.0,0.36957495013038955
1,1,random,4,4.440892098500626e-16,8.881784197001252e-16,0.1196625361478727
1,1,random,5,1.9984014443252818e-15,8.881784197001252e-16,0.8996750385106385
1,1,random,6,8.881784197001252e-16,1.7763568394002505e-15,1.317419925129867
1,1,random,7,5.551115123125783e-16,5.551115123125783e-16,0.5097356544450369
1,1,random,8,0.0,4.440892098500626e-16,0.8307664647642756
1,1,random,9,4.440892098500626e-16,0.0,1.6626106173047148
1,1,random,10,0.0,0.0,0.6584300195288304
1,1,random,11,0.0,0.0,0.7494280417785752
1,1,random,12,4.440892098500626e-16,0.0,0.7965867120636272
1,1,random,13,0.0,0.0,0.9687403878510823
1,1,random,14,8.881784197001252e-16,8.881784197001252e-16,0.25173159128262945
1,1,random,15,8.881784197001252e-16,0.0,0.10065022723750694
1,1,random,16,2.220446049250313e-16,2.220446049250313e-16,1.152753014935005
1,1,random,17,1.3322676295501878e-15,4.440892098500626e-16,0.9099044166056878
1,1,random,18,1.3322676295501878e-15,1.3322676295501878e-15,1.9306068617291459
1,1,random,19,1.7763568394002505e-15,2.6645352591003757e-15,0.15675130588548036
1,2,simplex,0,3.552713678800501e-15,5.329070518200751e-15,5.117755452778157
1,2,simplex,1,0.0,8.881784197001252e-16,0.01986379117390058
1,2,simplex,2,8.881784197001252e-16,4.440892098500626e-16,1.2582111749346154
1,2,simplex,3,8.881784197001252e-16,8.881784197001252e-16,1.31645130923987
1,2,simplex,4,1.7763568394002505e-15,4.440892098500626e-16,5.764421406433264
1,2,simplex,5,8.881784197001252e-16,8.881784197001252e-16,7.3951122678656205
1,2,simplex,6,1.3322676295501878e-15,8.881784197001252e-16,2.7244085001710694
1,2,simplex,7,0.0,8.881784197001252e-16,0.41899898596989793
1,2,simplex,8,1.1102230246251565e-16,2.9976021664879227e-15,2.174251525201228
1,2,simplex,9,0.0,4.440892098500626e-16,2.378301602659274
1,2,simplex,10,0.0,1.7763568394002505e-15,2.7186082300323022
1,2,simplex,11,0.0,4.440892098500626e-16,2.002020751726217
