dimension,resolution,analytic_r,numeric_r,absolute_error,low_cost_ratio,high_cost_ratio,derivative_at_rho_e
12,100.0,1.086904049521229,1.0869040510001393,1.478910327534777e-09,1.2130613194252668,1.3591409142295228,0.0
12,10000.0,1.086904049521229,1.0869040510001393,1.478910327534777e-09,1.2130613194252668,1.3591409142295228,0.0
12,100000000.0,1.086904049521229,1.0869040510001393,1.478910327534777e-09,1.2130613194252668,1.3591409142295228,0.0
12,1e+16,1.086904049521229,1.0869040510001393,1.478910327534777e-09,1.2130613194252668,1.3591409142295228,0.0
13,100.0,1.0799589994281866,1.0799590007846118,1.3564251943876116e-09,1.2130613194252668,1.3591409142295228,0.0
13,10000.0,1.0799589994281866,1.0799590007846118,1.3564251943876116e-09,1.2130613194252668,1.3591409142295228,0.0
13,100000000.0,1.0799589994281866,1.0799590007846118,1.3564251943876116e-09,1.2130613194252668,1.3591409142295228,0.0
13,1e+16,1.0799589994281866,1.0799590007846118,1.3564251943876116e-09,1.2130613194252668,1.3591409142295228,0.0
14,100.0,1.0740414307162958,1.074041431968932,1.2526362169751337e-09,1.2130613194252668,1.3591409142295228,0.0
14,10000.0,1.0740414307162958,1.074041431968932,1.2526362169751337e-09,1.2130613194252668,1.3591409142295228,0.0
14,100000000.0,1.0740414307162958,1.074041431968932,1.2526362169751337e-09,1.2130613194252668,1.3591409142295228,0.0
14,1e+16,1.0740414307162958,1.074041431968932,1.2526362169751337e-09,1.2130613194252668,1.3591409142295228,0.0
15,100.0,1.0689391057472464,1.0689391069108194,1.163573015716679e-09,1.2130613194252668,1.3591409142295228,0.0
15,10000.0,1.0689391057472464,1.0689391069108194,1.163573015716679e-09,1.2130613194252668,1.3591409142295228,0.0
15,100000000.0,1.0689391057472464,1.0689391069108194,1.163573015716679e-09,1.2130613194252668,1.3591409142295228,0.0
15,1e+16,1.0689391057472464,1.0689391069108194,1.163573015716679e-09,1.2130613194252668,1.3591409142295228,0.0
16,100.0,1.0644944589178593,1.0644944600041732,1.086313927700644e-09,1.2130613194252668,1.3591409142295228,0.0
16,10000.0,1.0644944589178593,1.0644944600041732,1.086313927700644e-09,1.2130613194252668,1.3591409142295228,0.0
16,100000000.0,1.0644944589178593,1.0644944600041732,1.086313927700644e-09,1.2130613194252668,1.3591409142295228,0.0
16,1e+16,1.0644944589178593,1.0644944600041732,1.086313927700644e-09,1.2130613194252668,1.3591409142295228,0.0
